review_seq,total_score,review_content,reg_date,images,writer_display_name
1079083,5.0,I visited to celebrate my birthday and had a great time with delicious food. I want to find it again^^,2022-11-16 00:56:20,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221116005531208_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221116005531503_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221116005531360_rv.jpg",예리한 맛사냥꾼_67242
2581783,5.0,"All the menus were new and delicious.

However, the shellfish in the vongole were so defrosted that
Everyone who accompanied me chewed the sand several times. 
I was satisfied with the taste
I'm leaving a review like this because I want you to supplement only this part. 

I'll look forward to it and visit you again ~",2024-03-28 16:33:10,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/4804be0cb571419c8d775b4056520b5d, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/43d691de54d84de6a9f05ed62a1bc55f, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/faaf7d4062284182ad6d31ef60c3e550",여름이었당
1414978,5.0,It was really good Beef carpaccio and beef sauce pasta are especially delicious,2022-12-28 22:24:25,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221228222350898(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221228222350900(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221228222350900(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221228222350900(3).jpeg",솔직한 미식가_82862
612674,5.0,It was delicious and the atmosphere on the terrace was the best,2022-07-15 21:40:28,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220715214008238(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220715214008240(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220715214008240(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220715214008241(3).jpeg",힝부끄
817001,5.0,"It's delicious and the atmosphere is nice
I'm satisfied",2022-09-12 14:59:33,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220912145910005(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220912145910007(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220912145910007(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220912145910008(3).jpeg",부드러운 맛사냥꾼_33096
2569320,5.0,Good,2024-03-23 20:26:35,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/26e713df33e64bb08f9aac1192055509, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/fd4c25873eab48b5b1ab0afc6a2527ed, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/682cd04412c7444c800b9e4e2f536160, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/ea1c3c3d63784e8b93018e4d462a1f92",빨리튀어나와
2306193,5.0,"I visited the Christmas lunch course, and I had a great time on a precious day thanks to you! The view was nice, and the food was delicious. I was full💛

First of all, I liked that the course consisted of menus that were not liked and disliked. 😙 It wasn't a special limited menu that was a little ambiguous for some reason, but it was better because it consisted of only the basic best menus such as bruschetta, salad, red shrimp capellini, lemon butter papadelle, and steak (I think it would have been nice to have a simple tiramisu or black coffee at the end if I were to be greedy!) And the food was delicious and I was very full. 😁 Actually, it's a special course, so it's expensive, but I can't help it on ChristmasI was satisfied with the welcome drink, the food was delicious and the portion was large!

And we were sitting by the window right next to the kitchen. 🪟 Actually, it was a little hectic because the location was next to the kitchen, but the view of Namsan Tower was good, and I knew that egg & flower was originally a small restaurant, so it was okay!😚 (I think it's a place where it's a little disappointing to enjoy the course meal like the person below, but I don't think it's something to pay much attention to if you order it as a single item!) Still, it was a happy Christmas Eve with my boyfriend, enjoying delicious food and enjoying a nice viewHaha. We booked the terrace by the window on purpose because we thought it would be cold, but in winter, the terrace has been changed to indoor, so I think it would be good to reserve a terrace. 🫶

I will visit again next time. 💛",2023-12-25 19:04:57,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/831a19531d2848cca1557794fad2d46f, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/8536f25e938f4845970173b94bd37c4c, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/7c3011e712f14e9d9804c8d0901eacd4, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/317205cab6de4cabbe86edb672670119, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/d4cd3d0c4ae14b33ac96391b7672813b, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/10809f9b9cba42d493a40305ce783a77, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/2f98310a23eb4a80b54d7332b38adbf4",절대미각 규
2639324,4.5,"It's good to eat on the terrace when the weather is nice and the fresh noodles pasta is also observed. The view is villa view, but the terrace itself feels good",2024-04-19 10:33:51,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/dec3c951d8324def8fc49c71d9c46281, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/136f6b3147764edebfc82ff76ee0a6cb, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/35863f94ee25468488b7730f7130d0e4, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/7c692c51cf54477c93023b18f23d3b07",빡지0410
2613425,5.0,"The atmosphere is so nice and Haebangchonri is also a view 👍
I couldn't sit by the window, but as soon as I entered, it was so nice because it was open through the window! What's the point of saying the taste The boss told me how to eat it myself, so I could eat it more deliciously! Thank you ❤️",2024-04-09 16:00:55,https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/240409155943170(0).jpeg,깜찍한 식객_87565
1614432,4.8,"Egg & Flower (located in Itaewon)

Michelin Beeb Grumnet
In addition to the delicious meal, I sat on the bridge near the window where I could see Namsan Tower and had a delicious meal

I couldn't see Namsan Tower as a whole, but only the table we sat on seemed to be visible.
You can see the view from each table 
You might not be able to see it.

The store was clean and the open kitchen was as fancy as a bar
I liked the table because of the subtle lighting.
But the friend I went with felt it was a bit dark

Parfaccio and poached egg Caesar salad.
I ordered red shrimp and poccini pasta 
sitting down at 6 o'clock 
(There is a time limit until 7:20.)

Parfacio came out around 10 minutes and showed us a smoke performance, so I was satisfied with the taste and sight.

Caesar salad was served for about 20 minutes and I was waiting for pasta
The pasta comes out 25 minutes later, around 45 minutes later 
I think I ate it a little tight.  
There were a lot of people saying it's salty, but I liked it because it was just a little bit

But I wish you'd told me before serving 
I feel like I'm coming out a little late 

However, the service and taste were excellent, so I am willing to revisit It's delicious, tooYes 
Thanks to you, I had a delicious meal.",2023-02-13 22:21:56,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221005443_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221004590_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221003672_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221004181_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221003138_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221002902_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221003433_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221001928_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/23213221003975_rv.jpg",Big식객
1834059,5.0,"I had a great time eating delicious pasta, ragu, and wine in a cozy atmosphere I reserved a window seat at the catch table, so I was able to sit in a seat with a nice view However, it wasn't difficult to enter without a reservation because there were many empty seats because it was a weekday evening
For pasta, I ordered the best menu, red shrimp ink capellini, and it was really delicious and good The shrimp head and tail were savory, so it went well with the noodles Capellini was great, too
Galbi is much softer and more luxurious than the ragu I've had so far, so I was surprised when I took a bite I really liked it and I had no time to think about it Haha
Ricotta Platter, Burrata Cheese & Gamtae were great, too It was such a cozy and comfortable place that it was sad to leave I really want to visit again next time",2023-06-27 11:53:33,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304440(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304442(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304442(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304442(3).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304442(4).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/230627115304442(5).jpeg",효시닝
121662,5.0,"I found out about this place after searching hard because there were no good restaurants in Korea
I think I showed the standard of Italian food while sticking to the basics
Especially, lemon butter salsicha and red shrimp ink capellini are really good.
  The texture of salsicha noodles was amazing. I was amazed when I saw that they had salsicha in them It's a sauce that goes really well with butter and lemon. I think the red shrimp ink capellini properly showed the scent of the bisque. At first, I was worried that it would have been slightly changed to Korean style because I had to mix it, but the scent of crab and shrimp was very flavorful!! I want to go there again and eat everything else!!
I was happy!!!  ++ The service and taste were perfect, too!!!!",2021-10-11 01:14:58,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011348716_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011348948_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011349173_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011349832_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011349413_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211011011349657_rv.jpg",박혜빈
916470,5.0,The raw noodles are definitely different. I went when the sun was setting and the atmosphere was so good!!! I'm willing to revisit!,2022-10-08 11:39:09,https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221008113742245(0).jpeg,페페페
695369,5.0,"Personally, it was much better than the original version.
The texture of the noodles is alive and I'm very satisfied 💓",2022-08-09 23:02:03,https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220809230122877(0).jpeg,순덕희네
100236,5.0,"The beautiful view and atmosphere of Namsan Mountain and Namsan Tower, the signature menu of ink raw noodles pasta, Iberico & steak are all very delicious The tiramisu I ordered for dessert melts gently in my mouth. I feel like all the employees are kind and treated  Everyone, visit twice I'm going to visit three times 

(Below is a separate review from the taste)
*However, there are cases where parking/valet is very narrow and uncomfortable, and valet is not supported on the day (a little absurd). We recommend you to visit public transportation/walk or park in a nearby public parking lot (resident center).",2021-09-17 09:25:54,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210917092209945(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210917092209948(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210917092209948(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210917092209948(3).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210917092209948(4).jpeg",히르미테
224931,5.0,"It was tearfully delicious.. I like raw noodles pasta, so I went to rocks and many places, and it was really delicious.. Especially, I opened my eyes when I chewed chives on red shrimp biscuits..I ate it so deliciously!
I thought valet wouldn't work because it's a liberation village, but it works, so I'll bring a car next time. lol
------------------------------------
I'm curious about the other menus because they're so delicious. I'm reading the reviews, and I'm leaving an additional review because I'm upset with all the bad reviews. I think the chef will be so upset.. 
Raw pasta is of this quality and gives this much amount (usually they sell raw pasta, but it's only half the amount).. )) At this price, it's really delicious. It's the best of the best.
Fine dining blah blah, please don't be arrogant in your review. It's more of a revelation..",2021-12-30 16:02:18,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211230160207898(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211230160207899(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211230160207899(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/211230160207899(3).jpeg",뚜랏따따다닷챠!
1033111,5.0,Eggs and flowers that are always so delicious ^^!!,2022-11-05 11:38:52,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221105113841170(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221105113841171(1).jpeg",Sic2
58449,5.0,"Set for 2 people - 1 salad, 2 pasta, 1 drink, and tiramisu
The transfer price was reasonable and the taste was the best!
Burata cheese with sweet potatoes was so delicious and pleasant because it tasted savory and pure milk.
If it's a famous place for raw noodles pasta, I ate it focusing on the texture, and I was very satisfied! Especially, I've never seen a place that's so delicious like Porchini pasta.. The flavor was so good살 Salsicha Lemon Butter Yolk Daliatale was also fresh because it was my first time eating it. 
Thank you for the dessert.
+ The servers were so kind😊",2021-07-25 20:30:53,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012727(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012728(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012729(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012729(3).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012729(4).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210725202012729(5).jpeg",예워리
1033087,5.0,It was so good,2022-11-05 11:37:08,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221105113657370(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221105113657373(1).jpeg",Sic2
45795,5.0,"I've always been curious about the cute branding, but I finally visited it today. Thank you for reflecting the request I made when I made the reservation :) 
The size of the business was smaller than I thought, but the window was wide open, so I felt open. I loved the degree of cooking and texture of pasta using raw noodles, and especially the signature menu, red shrimp capellini, had the best flavor as explained. Steak was replaced by beef brisket, not flesh today, and it was easy.
I visited at lunch, but I want to stop by in the evening next time!",2021-07-04 01:02:54,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210704010221877(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210704010221878(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210704010221878(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210704010221878(3).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/210704010221878(4).jpeg",라므당
260789,5.0,"Red Shrimp Ink Capellini - The sauce was so delicious! I don't know if it has uni in it, but it was a dense smell of seafood that seemed to have been unwrapped finely! The unique pasta noodles with the perfect sauce were also very attractive! I'm going to eat this next time!

Truffle Porchini Mushroom Daliatelle - the presence was weak compared to the earlier dish I think it would have been better if it had a thicker texture and a truffle scent. 

Truffle French fries - I don't know about the truffle scent, but it was crispy and delicious. Butter that came out together? It was good, too

Lemon Tiramisu - Thankful Dessert for refreshingly organizing deep dishes!

The staff were so kind (not just a self-respecting smile, but it was great to see if the food was really good!)

The window view with the night view is really good!",2022-01-18 21:47:03,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220118213339818(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220118213339821(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/220118213339821(2).jpeg",Charlotteee
